created_at,"field1(Temperature ºC )",field2(Humidity),field3(Voltage),"field4(WIFI RSSI)","field5(GSM RSSI)",field6(Light),"field7(RS485 Temperature ºC )","field8(RS485 Humidity)","field9(RS485 Soil Temperature)","field10(RS485 Soil Moisture)","field11(External Light)","field12(PT100 Temperature)","field13(Wind Speed)","field14(Carbon Dioxide)","field15(RS485 Atmospheric Pressure)",status,lat,long,elev,wifi,cell,serial,log,wifi_loc,cell_loc
2025-02-27T18:25:48-05:00,25.6649,62.501,,,,54.45,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-27T18:35:49-05:00,25.6355,62.7619,,,,54.15,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-27T18:45:44-05:00,,,4.0922,,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-27T18:45:49-05:00,25.6916,64.3,,,,55.5,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-27T18:46:01-05:00,,,,,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,507,,
2025-02-27T18:55:50-05:00,25.8038,65.0431,,,,57.6,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-27T19:05:51-05:00,26.0574,65.8259,,,,284.25,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-27T19:15:51-05:00,26.2016,66.2196,,,,281.7,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-27T19:25:51-05:00,26.2577,67.3091,,,,298.8,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-27T19:35:53-05:00,26.1589,67.2038,,,,245.7,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-27T19:45:44-05:00,,,4.0922,,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-27T19:45:48-05:00,,,,,,,,,,,,,,,,,,,,"f6:69:77:5e:ee:0b,-50;4c:ed:fb:7a:67:20,-52;88:66:39:5e:df:51,-53;88:66:39:41:54:cf,-53;a4:be:2c:48:99:87,-57",,TTQ1F13GS1A,,,
2025-02-27T19:45:50-05:00,,,,-58,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-27T19:45:53-05:00,26.1002,66.5126,,,,247.65,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-27T19:55:53-05:00,26.1002,65.7374,,,,255,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-27T20:05:54-05:00,26.0708,65.0843,,,,253.65,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-27T20:15:54-05:00,26.0307,63.6973,,,,280.95,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-27T20:15:59-05:00,,,,-64,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-27T20:25:54-05:00,26.0147,62.8763,,,,278.25,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-27T20:35:54-05:00,26.0441,63.0869,,,,267,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-27T20:45:44-05:00,,,4.0885,,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-27T20:45:55-05:00,26.0574,64.8325,,,,269.1,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-27T20:45:58-05:00,,,,-64,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-27T20:46:12-05:00,,,,,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,507,,
2025-02-27T20:55:56-05:00,25.9747,63.3982,,,,278.4,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-27T21:05:56-05:00,25.9159,62.1485,,,,278.85,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-27T21:15:57-05:00,25.8598,61.9211,,,,278.55,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-27T21:15:58-05:00,,,,-63,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-27T21:16:08-05:00,,,,,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,507,,
2025-02-27T21:25:56-05:00,25.8759,63.4409,,,,274.2,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-27T21:35:57-05:00,25.8892,62.7543,,,,266.4,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-27T21:45:45-05:00,,,4.0885,,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-27T21:45:57-05:00,25.9026,63.4272,,,,260.7,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-27T21:55:58-05:00,25.9453,64.9409,,,,271.95,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-27T22:05:58-05:00,25.8331,63.3707,,,,272.25,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-27T22:15:58-05:00,25.8038,63.3219,,-59,,272.25,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-27T22:25:58-05:00,25.8198,64.3915,,,,267.45,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-27T22:35:58-05:00,25.7904,64.5884,,,,269.85,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-27T22:45:46-05:00,,,4.0885,,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-27T22:45:58-05:00,25.7477,64.9454,,,,269.4,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-27T22:46:02-05:00,,,,-57,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-27T22:55:59-05:00,25.6783,64.007,,,,269.25,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-27T23:05:59-05:00,25.6783,63.8788,,,,269.4,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-27T23:15:59-05:00,25.6489,63.5599,,,,270,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-27T23:16:03-05:00,,,,-60,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-27T23:25:59-05:00,25.6355,62.9648,,,,266.55,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-27T23:35:59-05:00,25.6088,62.649,,,,269.7,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-27T23:45:46-05:00,,,4.0885,,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-27T23:45:59-05:00,25.5795,62.4292,,,,262.35,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-27T23:46:06-05:00,,,,-57,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-27T23:56:00-05:00,25.5501,62.0996,,,,272.7,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T00:06:00-05:00,25.5074,61.7182,,,,258,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T00:16:00-05:00,25.494,69.9947,,,,253.65,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T00:16:09-05:00,,,,-61,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T00:26:00-05:00,25.5207,74.6273,,,,262.5,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T00:36:00-05:00,25.478,75.5718,,,,62.7,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T00:45:46-05:00,,,4.0885,,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T00:46:01-05:00,25.3525,72.4346,,,,62.85,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T00:46:04-05:00,,,,-62,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T00:46:18-05:00,,,,,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,503,,
2025-02-28T00:46:19-05:00,,,,,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,507,,
2025-02-28T00:56:01-05:00,25.3952,69.0028,,,,64.65,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T01:06:02-05:00,25.3952,66.7582,,,,64.05,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T01:16:02-05:00,25.4646,65.6336,,,,56.7,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T01:16:06-05:00,,,,-54,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T01:16:17-05:00,,,,,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,507,,
2025-02-28T01:26:03-05:00,25.6222,66.7918,,,,262.35,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T01:36:04-05:00,25.6355,67.483,,,,260.25,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T01:45:46-05:00,,,4.0885,,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T01:46:04-05:00,25.7343,66.0304,,,,269.1,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T01:56:04-05:00,25.7076,64.9607,,,,262.65,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T02:06:05-05:00,25.7076,65.0462,,,,259.35,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T02:16:05-05:00,25.8038,66.1402,,,,280.35,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T02:16:07-05:00,,,,-49,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T02:16:22-05:00,,,,,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,507,,
2025-02-28T02:26:05-05:00,25.9026,68.4062,,,,272.55,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T02:36:06-05:00,25.9586,66.2272,,,,255.3,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T02:45:46-05:00,,,4.0885,,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T02:46:06-05:00,26.0014,68.8548,,,,268.8,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T02:56:06-05:00,26.0147,68.9509,,,,270.6,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T03:06:07-05:00,26.0708,68.5939,,,,263.4,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T03:16:07-05:00,26.0441,66.9749,,-55,,266.55,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T03:26:07-05:00,25.8892,64.6296,,,,272.1,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T03:36:07-05:00,25.9026,64.2771,,,,270.3,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T03:45:47-05:00,,,4.0885,,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T03:46:07-05:00,25.8465,63.7919,,,,270.9,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T03:46:11-05:00,,,,-58,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T03:56:07-05:00,25.8198,63.4119,,,,269.4,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T04:06:07-05:00,25.8198,63.1296,,,,259.95,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T04:16:07-05:00,25.7904,61.8341,,,,281.25,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T04:16:12-05:00,,,,-60,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T04:16:22-05:00,,,,,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,507,,
2025-02-28T04:26:07-05:00,25.7343,61.4572,,,,271.8,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T04:36:07-05:00,25.7477,61.3947,,,,277.2,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T04:45:47-05:00,,,4.0885,,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T04:46:07-05:00,25.6649,61.9287,,,,274.05,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T04:46:17-05:00,,,,-55,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T04:56:08-05:00,25.7771,62.0035,,,,266.1,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T05:06:09-05:00,25.7637,60.9781,,,,282.45,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T05:16:09-05:00,25.5341,60.0702,,,,284.1,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T05:16:23-05:00,,,,-53,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T05:26:10-05:00,25.4379,59.4675,,,,272.85,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T05:36:10-05:00,25.3391,59.1867,,,,270.6,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T05:45:47-05:00,,,4.0885,,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T05:46:10-05:00,25.2964,59.2798,,,,270.45,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T05:46:28-05:00,,,,-58,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T05:56:10-05:00,25.267,59.7238,,,,265.95,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T06:06:10-05:00,25.3792,59.2844,,,,263.1,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T06:16:10-05:00,25.4646,60.3769,,,,260.1,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T06:16:24-05:00,,,,-50,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T06:16:38-05:00,,,,,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,507,,
2025-02-28T06:26:11-05:00,25.5074,60.4501,,,,259.65,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T06:36:11-05:00,25.5074,62.2126,,,,268.65,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T06:45:47-05:00,,,4.0885,,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T06:46:12-05:00,25.494,62.1866,,,,256.8,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T06:46:24-05:00,,,,-57,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T06:56:13-05:00,25.5661,62.2675,,,,275.25,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T07:06:13-05:00,25.5501,62.6841,,,,269.4,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T07:16:13-05:00,25.5341,62.3362,,,,243.6,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T07:16:29-05:00,,,,-65,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T07:26:13-05:00,25.5074,62.5895,,,,250.5,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T07:36:13-05:00,25.494,66.5309,,,,251.55,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T07:45:47-05:00,,,4.0885,,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T07:46:14-05:00,25.4646,63.9979,,,,232.95,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T07:46:29-05:00,,,,-52,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T07:46:39-05:00,,,,,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,507,,
2025-02-28T07:56:14-05:00,25.4379,64.0589,,,,233.1,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T08:06:15-05:00,25.3952,63.6835,,,,233.7,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T08:16:15-05:00,25.3952,63.3631,,,,233.7,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T08:16:36-05:00,,,,-65,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T08:26:16-05:00,25.3792,62.4048,,,,233.85,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T08:36:16-05:00,25.478,63.0014,,,,223.5,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T08:45:47-05:00,,,4.0885,,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T08:46:17-05:00,25.5928,63.1647,,,,234.75,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T08:46:43-05:00,,,,-62,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T08:56:18-05:00,25.5795,64.6891,,,,236.25,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T09:06:18-05:00,25.6489,63.4638,,,,232.8,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T09:16:18-05:00,25.5928,62.4872,,,,224.55,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T09:16:44-05:00,,,,-54,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T09:26:18-05:00,25.6355,66.0319,,,,250.2,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T09:36:18-05:00,25.6222,65.2979,,,,250.65,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T09:45:47-05:00,,,4.0885,,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T09:46:19-05:00,25.5795,63.1388,,,,249.45,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T09:46:41-05:00,,,,-48,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T09:56:19-05:00,25.6088,62.8962,,,,232.2,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T10:06:19-05:00,25.6088,64.8219,,,,265.2,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T10:16:19-05:00,25.6649,66.6407,,,,234.9,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T10:16:41-05:00,,,,-67,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T10:26:19-05:00,25.721,67.9088,,,,239.25,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T10:36:19-05:00,25.6649,66.8009,,,,248.25,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T10:45:47-05:00,,,4.0885,,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T10:46:19-05:00,25.6649,66.3508,,,,244.65,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T10:46:42-05:00,,,,-64,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T10:46:56-05:00,,,,,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,507,,
2025-02-28T10:56:19-05:00,25.6489,66.183,,,,248.55,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T11:06:20-05:00,25.6355,65.1621,,,,249.45,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T11:16:21-05:00,25.6649,66.1997,,,,251.25,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T11:16:42-05:00,,,,-71,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T11:26:22-05:00,25.6489,65.8946,,,,240.15,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T11:36:22-05:00,25.721,62.8321,,,,230.4,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T11:45:47-05:00,,,4.0885,,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T11:46:22-05:00,25.7771,62.1851,,,,234.15,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T11:46:49-05:00,,,,-59,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T11:56:22-05:00,25.8465,63.4257,,,,259.05,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T12:06:22-05:00,25.8465,62.8672,,,,254.1,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T12:16:22-05:00,25.7343,61.3489,,,,236.85,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T12:16:48-05:00,,,,-57,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T12:26:22-05:00,25.6916,61.4389,,,,237.45,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T12:36:22-05:00,25.6649,60.8866,,,,234.6,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T12:45:48-05:00,,,4.0848,,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T12:46:22-05:00,25.8038,62.2004,,,,26.25,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T12:46:49-05:00,,,,-53,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T12:56:22-05:00,25.7076,61.7517,,,,25.8,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T13:06:22-05:00,25.7343,61.7151,,,,26.1,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T13:16:22-05:00,25.6489,61.9898,,,,25.2,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T13:16:49-05:00,,,,-58,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T13:26:22-05:00,25.6088,61.9715,,,,20.4,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T13:36:23-05:00,25.6222,61.416,,,,24.9,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T13:45:47-05:00,,,4.0848,,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T13:46:23-05:00,25.7076,60.8499,,,,25.95,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T13:46:50-05:00,,,,-52,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T13:56:23-05:00,25.6649,60.7996,,,,25.05,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T14:06:23-05:00,25.6783,60.9628,,,,25.65,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T14:16:23-05:00,25.6222,61.4588,,,,25.8,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T14:16:50-05:00,,,,-54,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T14:26:23-05:00,25.5341,61.9699,,,,26.4,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T14:36:23-05:00,25.6088,61.6831,,,,40.05,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T14:45:47-05:00,,,4.0848,,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T14:46:24-05:00,25.5928,60.7858,,,,38.85,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T14:46:52-05:00,,,,-57,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T14:56:24-05:00,25.5928,60.7858,,,,38.4,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T15:06:24-05:00,25.6222,60.9216,,,,37.8,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T15:16:24-05:00,25.6222,61.6419,,,,38.55,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T15:16:59-05:00,,,,-55,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T15:26:24-05:00,25.6355,62.3224,,,,37.65,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T15:36:24-05:00,25.7343,63.006,,,,38.4,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T15:45:47-05:00,,,4.0848,,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T15:46:24-05:00,25.7771,63.5737,,,,24.75,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T15:46:56-05:00,,,,-56,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T15:56:25-05:00,25.7343,63.9307,,,,24.45,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T16:06:27-05:00,25.7076,64.5197,,,,23.7,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T16:16:27-05:00,25.7637,65.8747,,,,25.35,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T16:16:58-05:00,,,,-60,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T16:26:27-05:00,25.8598,66.6804,,,,22.95,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-28T16:36:28-05:00,25.988,68.2597,,,,31.2,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
